TimeCreated,Sphinx_Score,Original_Snippet,Decoded_Hint,Sphinx_Tags
2025-12-21 11:51:52.9071767,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:52.9108124,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:52.9135893,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:52.9219339,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:52.9232563,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:52.9248439,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
2025-12-21 11:51:54.0237174,150,HostApplication=C:\WINDOWS\Sys,[FORCE DECODE] Attack Keyword Found: HostApplication=C:\WINDOWS\System32\WindowsPowerSh...,ATTACK_SIG_DETECTED
