SourceCreated,SourceModified,LocalPath,Target_FileName,Plutos_Verdict,Risk_Tag
2025-12-21 12:20:44,2025-12-21 12:25:56,C:\Users\user\Desktop\Set-PersistenceAudit.ps1,set-persistenceaudit.ps1,POTENTIAL_EXFILTRATION,
2025-12-21 11:26:33,2025-12-21 11:28:02,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,POTENTIAL_EXFILTRATION,
2025-12-21 10:36:26,2025-12-21 10:40:22,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,POTENTIAL_EXFILTRATION,
2025-12-21 10:36:26,2025-12-21 10:40:22,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,POTENTIAL_EXFILTRATION,
