Timestamp_UTC,Timestamp_Local,Timezone_Bias,Time_Type,Artifact_Type,Action,User,Target_Path,Source_File,Evidence_ID,Verify_Cmd,Tag
2025-12-21T10:44:37.322029000,2025-12-21T10:44:37.322029000,0,Artifact_Write,Amcache,ctfmon.exe,System,ctfmon.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:37.206891000,2025-12-21T10:44:37.206891000,0,Artifact_Write,Amcache,mcbuilder.exe,System,mcbuilder.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:37.157705000,2025-12-21T10:44:37.157705000,0,Artifact_Write,Amcache,msoobe.exe,System,msoobe.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:37.125044000,2025-12-21T10:44:37.125044000,0,Artifact_Write,Amcache,oobeldr.exe,System,oobeldr.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:37.010384000,2025-12-21T10:44:37.010384000,0,Artifact_Write,Amcache,MdmDiagnosticsTool.exe,System,mdmdiagnosticstool.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:36.975978000,2025-12-21T10:44:36.975978000,0,Artifact_Write,Amcache,provtool.exe,System,provtool.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:36.957512000,2025-12-21T10:44:36.957512000,0,Artifact_Write,Amcache,regsvr32.exe,System,regsvr32.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:36.929261000,2025-12-21T10:44:36.929261000,0,Artifact_Write,Amcache,regsvr32.exe,System,regsvr32.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:36.905683000,2025-12-21T10:44:36.905683000,0,Artifact_Write,Amcache,appidpolicyconverter.exe,System,appidpolicyconverter.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
2025-12-21T10:44:36.585937000,2025-12-21T10:44:36.585937000,0,Artifact_Write,Amcache,ByteCodeGenerator.exe,System,bytecodegenerator.exe,C:\Temp\Trigger0\out\ProgramExecution\20251225072747_Amcache_UnassociatedFileEntries.csv,,,
