EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
45290,2,true,3780,2,.\Windows\assembly\NativeImages_v4.0.30319_32\TaskScheduler\63ce3c0d4e11337e7b43201d797735fc,TaskScheduler.ni.dll,.dll,240544,1,,false,false,false,true,false,true,Archive,Windows,2024-04-01 16:37:17.4233365,2025-12-21 10:30:45.5310825,2024-04-01 16:31:18.8008039,2025-12-21 10:30:45.5310825,2025-12-21 10:30:49.8172306,2025-12-21 10:30:45.5310825,2024-04-01 16:37:17.4233365,2025-12-21 10:30:45.5310825,0,190408936,828,,,,2024-04-01T16:37:17.423336,2025-12-21T10:30:45.531082,2024-04-01T16:31:18.800803,-54323608,TIMESTOMP_BACKDATE,"",80
45476,2,true,3974,2,.\Windows\assembly\NativeImages_v4.0.30319_64\TaskScheduler\1a67bbfeebec0aac1717db5bc8a0b429,TaskScheduler.ni.dll,.dll,262960,1,,false,false,false,true,false,true,Archive,Windows,2024-04-01 16:37:17.0014995,2025-12-21 10:30:45.5911463,2024-04-01 16:31:14.3125961,2025-12-21 10:30:45.5911463,2025-12-21 10:30:51.8585957,2025-12-21 10:30:45.5911463,2024-04-01 16:37:17.0014995,2025-12-21 10:30:45.5911463,0,190586685,828,,,,2024-04-01T16:37:17.001499,2025-12-21T10:30:45.591146,2024-04-01T16:31:14.312596,-54323608,TIMESTOMP_BACKDATE,"",80
48661,2,true,5435,2,.\Windows\Microsoft.NET\assembly\GAC_MSIL\TaskScheduler\v4.0_10.0.0.0__31bf3856ad364e35,TaskScheduler.dll,.dll,153600,2,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2024-04-01 07:22:07.6534661,2025-12-21 10:30:59.8925324,2024-04-01 07:22:07.6534661,2025-12-21 10:31:01.9058740,2025-12-21 11:14:03.5196372,2025-12-21 10:31:01.9178766,2024-04-01 07:22:07.6534661,2025-12-21 10:30:59.8925324,239693200,1194421556,661,,$DSC,,2024-04-01T07:22:07.653466,2025-12-21T10:30:59.892532,2024-04-01T07:22:07.653466,-54356932,TIMESTOMP_BACKDATE,"",80
48662,2,true,5437,2,.\Windows\Microsoft.NET\assembly\GAC_MSIL\TaskScheduler.Resources\v4.0_10.0.0.0_ja_31bf3856ad364e35,TaskScheduler.resources.dll,.dll,110080,2,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2024-04-01 16:33:09.6173245,2025-12-21 10:30:59.8925324,2024-04-01 16:33:09.6173245,2025-12-21 10:31:01.9100705,2025-12-21 11:14:09.4857837,2025-12-21 10:31:01.9178766,2024-04-01 16:33:09.6173245,2025-12-21 10:30:59.8925324,241552520,1197062291,661,,$DSC,,2024-04-01T16:33:09.617324,2025-12-21T10:30:59.892532,2024-04-01T16:33:09.617324,-54323870,TIMESTOMP_BACKDATE,"",80
