EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
38407,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,Microsoft.Telemetry.Metadata.dll,.dll,22528,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3093811,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.3093811,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6970600,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6970600,2025-12-21 10:30:42.4061249,48391904,2435332516,1572,,,,2024-04-01T16:38:46.309381,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.309381,-54323516,TIMESTOMP_BACKDATE,"",80
38408,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,Microsoft.Win32.Primitives.dll,.dll,21216,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3250110,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.3250110,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6990866,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6990866,2025-12-21 10:30:42.4061249,48392272,2435332693,1572,,,,2024-04-01T16:38:46.325011,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.325011,-54323516,TIMESTOMP_BACKDATE,"",80
38409,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,CommunityToolkit.Diagnostics.dll,.dll,98448,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.2468959,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.2625559,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6878195,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6878195,2025-12-21 10:30:42.4061249,48390656,2435331993,1572,,,,2024-04-01T16:38:46.246895,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.262555,-54323516,TIMESTOMP_BACKDATE,"",80
38410,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,StoreDesktopExtension.exe,.exe,39424,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3406585,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.3406585,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.7040858,2025-12-21 10:30:42.4061249,2025-12-21 11:40:56.2184390,2025-12-21 10:30:42.4061249,48392904,2435333093,1572,,,,2024-04-01T16:38:46.340658,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.340658,-54323516,TIMESTOMP_BACKDATE,"",80
38412,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.AppContext.dll,.dll,21176,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4087189,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7091258,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7091258,2025-12-21 10:30:42.4087189,48393608,2435333435,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.408718,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
38413,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,netstandard.dll,.dll,98616,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3406585,2025-12-21 10:30:42.4087189,2024-04-01 16:38:46.3406585,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7040858,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7015815,2025-12-21 10:30:42.4087189,48392584,2435332856,1572,,,,2024-04-01T16:38:46.340658,2025-12-21T10:30:42.408718,2024-04-01T16:38:46.340658,-54323516,TIMESTOMP_BACKDATE,"",80
38414,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,Microsoft.Marketplace.Storefront.Telemetry.Contracts.dll,.dll,162304,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.2781456,2025-12-21 10:30:42.4087189,2024-04-01 16:38:46.2781456,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.6928696,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.6903823,2025-12-21 10:30:42.4087189,48391136,2435332177,1572,,,,2024-04-01T16:38:46.278145,2025-12-21T10:30:42.408718,2024-04-01T16:38:46.278145,-54323516,TIMESTOMP_BACKDATE,"",80
38415,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Collections.Concurrent.dll,.dll,21224,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4087189,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7168024,2025-12-21 10:30:42.4087189,2025-12-21 10:37:14.7143005,2025-12-21 10:30:42.4087189,48393968,2435333834,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.408718,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
38416,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Collections.dll,.dll,21696,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7168024,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7168024,2025-12-21 10:30:42.4112721,48394344,2435334000,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
38417,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,System.Collections.NonGeneric.dll,.dll,21224,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2024-04-01 16:38:46.3562703,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7193602,2025-12-21 10:30:42.4112721,2025-12-21 10:37:14.7193602,2025-12-21 10:30:42.4112721,48394704,2435334226,1572,,,,2024-04-01T16:38:46.356270,2025-12-21T10:30:42.411272,2024-04-01T16:38:46.356270,-54323516,TIMESTOMP_BACKDATE,"",80
